Project,Address,City,State,Zip Code,Description,First Mention,Last Mention,Latitude,Longitude,URL
3265 El Camino Real,3265 El Camino Real,Palo Alto,CA,94306,"Planned Home Zone application for a 100% affordable, six-story, 55-unit multi-family rental development, prioritizing local educators. Includes 32 parking spaces and bike storage. Received approval from PTC and City Council.",1/15/2025,2/12/2025,37.420937,-122.137151,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/3265-El-Camino
Bird-friendly design ordinance,N/A,Palo Alto,CA,94301,"Proposed ordinance related to bird-friendly design, mentioned as going to City Council.",1/15/2025,1/15/2025,37.444122,-122.149915,https://www.cityofpaloalto.org/files/assets/public/v/1/agendas-minutes-reports/agendas-minutes/planning-and-transportation-commission/2024/ptc-8.14-dark-skies-bird-safety.pdf
Parking Programs Update,Downtown Palo Alto,Palo Alto,CA,94301,"Regular updates on parking data, including University Avenue garage/lot occupancy, sales data, and RPP permit sales. Implementation of new permit management and citation vendor and APGS systems in large garages. Policy changes for RPP employee permits and low-income permits.",1/15/2025,5/28/2025,37.444655,-122.162441,https://www.cityofepa.org/publicworks/page/residential-permit-parking-program
Safe Streets for All Safety Action Plan,Citywide,Palo Alto,CA,94301,"Draft plan to improve road safety, aiming for zero KSI (killed or severely injured). Focuses on eligibility for state/federal grants, sustainability, and accommodating new residents from housing element. Approved by City Council on June 2nd.",1/29/2025,7/30/2025,37.444122,-122.149915,https://www.paloalto.gov/Departments/Transportation/Transportation-Projects/Safety-Action-Plan
Stream Corridor Protection Ordinance Update,Citywide,Palo Alto,CA,94301,"Update to the ordinance related to stream corridors, with public discussion.",1/15/2025,7/30/2025,37.444122,-122.149915,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Ordinances-Maps-Guidelines-Standards/CreekStream-Corridor-Protection-Ordinance-Update
Via Palo Alto Link,Citywide,Palo Alto,CA,94301,"On-demand shared ride transit pilot program, discussion on funding (City, Stanford Research Park, grants), operational model, and data tracking for users (youth, senior, wheelchair, low-income discount).",1/29/2025,1/29/2025,37.444122,-122.149915,https://www.paloalto.gov/Departments/Transportation/Palo-Alto-Link
Crescent Park Traffic Calming Project,Center Dr & Hamilton Ave,Palo Alto,CA,94301,"Permanent installation project with a traffic oval and bulbout. Previous discussions focused on design, traffic data, and accessibility concerns for residents. The five-way intersection oval design was approved, while the bulbout portion was continued and later postponed.",1/29/2025,4/30/2025,37.45429,-122.14312,https://www.paloalto.gov/Departments/Transportation/Transportation-Projects/Crescent-Park-Traffic-Calming-Project
California Avenue & Ramona Street Permanent Closure,Portions of California Avenue and Ramona Street,Palo Alto,CA,94301,"Reclassification of portions of California Avenue (between El Camino Real and Birch Street) as a Community Street and Ramona Street (between University and Hamilton) as a Pedestrian Street. Aims to enhance outdoor dining, retail, and economic vibrancy.",2/12/2025,2/12/2025,37.431267,-122.140268,https://www.paloalto.gov/Departments/Transportation/Transportation-Projects/Car-Free-Streets-Cal-Ave.-Ramona-Street
El Camino Real Repaving and Bike Lane Project (Caltrans),El Camino Real,Palo Alto,CA,94306,"Ongoing Caltrans project for repaving and adding bike lanes. Status updates include striping completion, quick curbs installation, no parking signage, and electrical signal detection.",2/12/2025,7/9/2025,37.420881,-122.137308,https://dot.ca.gov/caltrans-near-me/district-4/d4-projects/d4-santa-clara-sr82-pavement-rehabilitation-and-ada-improvements
4335 & 4345 El Camino Real,4335 and 4345 El Camino Real,Palo Alto,CA,94306,Vesting tentative map for condominium subdivision to create 29 new townhome-style units. Includes affordable housing (4 on-site moderate-income units plus in-lieu fee) and energy efficiency features. Approved by PTC and City Council.,2/12/2025,3/26/2025,37.405095,-122.118043,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/4335-4345-El-Camino-Real
